iter	Passed	Remaining
729	5541	12677
730	5546	12663
731	5550	12648
732	5560	12645
733	5573	12649
734	5577	12635
735	5582	12621
736	5587	12608
737	5592	12594
738	5597	12581
739	5602	12567
740	5622	12587
741	5627	12574
742	5631	12560
743	5637	12546
744	5641	12532
745	5646	12518
746	5651	12506
747	5666	12514
748	5673	12504
749	5678	12491
750	5682	12478
751	5687	12464
752	5693	12452
753	5697	12438
754	5714	12451
755	5722	12444
756	5727	12430
757	5731	12416
758	5736	12402
759	5741	12389
760	5746	12375
761	5751	12362
762	5769	12378
763	5774	12365
764	5779	12352
765	5784	12338
766	5788	12324
767	5793	12310
768	5798	12299
769	5813	12305
770	5821	12299
771	5825	12285
772	5830	12272
773	5835	12259
774	5840	12245
775	5844	12232
776	5850	12220
777	5867	12232
778	5872	12218
779	5876	12205
780	5881	12192
781	5887	12180
782	5891	12167
783	5896	12154
784	5916	12172
785	5921	12159
786	5926	12146
787	5931	12133
788	5935	12120
789	5941	12107
790	5945	12094
791	5965	12111
792	5969	12097
793	5974	12084
794	5979	12071
795	5984	12058
796	5989	12047
797	5996	12037
798	6012	12047
799	6019	12038
800	6023	12025
801	6028	12011
802	6033	11999
803	6038	11986
804	6042	11972
805	6054	11974
806	6065	11973
807	6070	11960
808	6075	11947
809	6080	11935
810	6085	11923
811	6090	11910
812	6095	11897
813	6112	11908
814	6117	11896
815	6122	11884
816	6126	11871
817	6131	11858
818	6136	11845
819	6140	11832
820	6145	11819
821	6163	11831
822	6167	11818
823	6173	11806
824	6177	11794
825	6182	11780
826	6186	11767
827	6192	11757
828	6214	11776
829	6219	11763
830	6223	11751
831	6228	11738
832	6233	11725
833	6237	11712
834	6242	11699
835	6257	11706
836	6264	11697
837	6268	11685
838	6273	11672
839	6277	11659
840	6283	11647
841	6287	11633
842	6292	11621
843	6309	11632
844	6314	11620
845	6319	11608
846	6324	11595
847	6329	11583
848	6333	11571
849	6338	11558
850	6352	11563
851	6362	11560
852	6366	11547
853	6371	11534
854	6376	11521
855	6380	11508
856	6385	11496
857	6390	11485
858	6408	11495
859	6413	11484
860	6417	11471
861	6422	11458
862	6427	11447
863	6431	11434
864	6436	11421
865	6443	11413
866	6458	11419
867	6463	11407
868	6467	11394
869	6472	11382
870	6477	11370
871	6481	11357
872	6486	11345
873	6496	11342
874	6510	11346
875	6514	11334
876	6519	11322
877	6524	11310
878	6529	11298
879	6534	11286
880	6538	11274
881	6556	11285
882	6561	11272
883	6566	11260
884	6571	11249
885	6575	11236
886	6580	11224
887	6585	11213
888	6605	11226
889	6610	11214
890	6614	11202
891	6619	11190
892	6624	11178
893	6628	11166
894	6633	11155
895	6652	11166
896	6658	11156
897	6663	11145
898	6667	11132
899	6672	11120
900	6677	11109
901	6682	11098
902	6699	11105
903	6705	11097
904	6710	11085
905	6715	11074
906	6720	11061
907	6724	11049
908	6728	11036
909	6732	11024
910	6752	11036
911	6757	11024
912	6761	11012
913	6766	11000
914	6770	10988
915	6774	10976
916	6780	10964
917	6784	10952
918	6805	10967
919	6810	10955
920	6814	10943
921	6819	10932
922	6824	10920
923	6828	10908
924	6844	10914
925	6853	10909
926	6858	10898
927	6863	10886
928	6867	10874
929	6872	10863
930	6877	10851
931	6882	10839
932	6899	10847
933	6904	10836
934	6908	10824
935	6913	10812
936	6917	10801
937	6922	10789
938	6927	10777
939	6931	10766
940	6948	10774
941	6953	10762
942	6958	10751
943	6963	10740
944	6968	10728
945	6972	10717
946	6977	10705
947	6983	10695
948	6999	10701
949	7004	10690
950	7008	10679
951	7013	10667
952	7018	10656
953	7022	10644
954	7026	10632
955	7032	10621
956	7048	10627
957	7053	10616
958	7059	10607
959	7063	10595
960	7069	10585
961	7073	10573
962	7078	10562
963	7098	10573
964	7102	10562
965	7108	10551
966	7112	10539
967	7116	10528
968	7121	10517
969	7126	10506
970	7136	10502
971	7147	10501
972	7152	10489
973	7157	10478
974	7161	10467
975	7166	10455
976	7170	10443
977	7175	10432
978	7183	10426
979	7197	10428
980	7202	10418
981	7206	10406
982	7211	10395
983	7216	10384
984	7220	10373
985	7225	10362
986	7237	10360
987	7247	10357
988	7251	10346
989	7256	10334
990	7261	10323
991	7265	10312
992	7270	10301
993	7275	10290
994	7294	10300
995	7300	10290
996	7305	10280
997	7310	10269
998	7314	10258
999	7319	10247
1000	7324	10236
1001	7338	10238
1002	7346	10231
1003	7350	10221
1004	7355	10210
1005	7360	10199
1006	7364	10187
1007	7369	10177
1008	7373	10165
1009	7390	10170
1010	7396	10162
1011	7401	10151
1012	7405	10140
1013	7410	10129
1014	7414	10117
1015	7419	10106
1016	7423	10095
1017	7442	10103
1018	7447	10093
1019	7452	10082
1020	7456	10071
1021	7461	10060
1022	7465	10049
1023	7470	10038
1024	7485	10041
1025	7493	10035
1026	7497	10023
1027	7502	10013
1028	7507	10002
1029	7511	9991
1030	7516	9981
1031	7521	9970
1032	7541	9979
1033	7545	9968
1034	7550	9957
1035	7555	9947
1036	7559	9936
1037	7564	9925
1038	7568	9914
1039	7579	9911
1040	7592	9912
1041	7597	9901
1042	7601	9890
1043	7607	9880
1044	7611	9869
1045	7616	9859
1046	7633	9864
1047	7641	9857
1048	7646	9847
1049	7650	9836
1050	7655	9826
1051	7660	9816
1052	7665	9805
1053	7670	9795
1054	7687	9801
1055	7692	9790
1056	7697	9780
1057	7702	9769
1058	7706	9759
1059	7712	9749
1060	7716	9738
1061	7736	9747
1062	7741	9736
1063	7745	9725
1064	7750	9715
1065	7755	9704
1066	7759	9694
1067	7764	9683
1068	7769	9673
1069	7785	9677
1070	7791	9667
1071	7797	9659
1072	7802	9649
1073	7819	9653
1074	7826	9646
1075	7831	9636
1076	7836	9626
1077	7840	9615
1078	7845	9605
1079	7850	9595
1080	7856	9586
1081	7874	9592
1082	7879	9581
1083	7884	9571
1084	7889	9561
1085	7894	9551
1086	7898	9541
1087	7903	9530
1088	7922	9538
1089	7927	9527
1090	7932	9517
1091	7936	9506
1092	7941	9496
1093	7946	9486
1094	7951	9476
1095	7972	9485
1096	7977	9475
1097	7982	9465
1098	7987	9455
1099	7991	9444
1100	7995	9433
1101	8000	9423
1102	8011	9420
1103	8023	9418
1104	8028	9408
1105	8033	9398
1106	8037	9388
1107	8042	9378
1108	8047	9367
1109	8051	9357
1110	8069	9362
1111	8074	9352
1112	8079	9342
1113	8084	9332
1114	8089	9322
1115	8094	9312
1116	8098	9302
1117	8109	9298
1118	8120	9296
1119	8125	9286
1120	8130	9276
1121	8135	9266
1122	8140	9256
1123	8145	9246
1124	8149	9236
1125	8169	9243
1126	8174	9233
1127	8179	9224
1128	8185	9215
1129	8190	9205
1130	8195	9195
1131	8202	9187
1132	8218	9190
1133	8223	9180
1134	8227	9170
1135	8232	9160
1136	8237	9150
1137	8242	9140
1138	8246	9130
1139	8267	9137
1140	8272	9127
1141	8277	9117
1142	8281	9107
1143	8286	9097
1144	8291	9087
1145	8296	9077
1146	8315	9084
1147	8320	9074
1148	8325	9064
1149	8329	9054
1150	8334	9044
1151	8339	9034
1152	8344	9025
1153	8356	9022
1154	8368	9020
1155	8373	9011
1156	8380	9003
1157	8385	8994
1158	8390	8984
1159	8396	8975
1160	8414	8980
1161	8420	8970
1162	8425	8961
1163	8430	8952
1164	8435	8942
1165	8440	8933
1166	8452	8930
1167	8467	8930
1168	8472	8921
1169	8477	8912
1170	8482	8902
1171	8486	8892
1172	8492	8883
1173	8504	8881
1174	8514	8877
1175	8519	8866
1176	8524	8858
1177	8529	8848
1178	8534	8838
1179	8539	8828
1180	8544	8819
1181	8561	8822
1182	8567	8813
